Holding_Days,Rebalance,Formation_End,Holding_Start,Method,AAPL,MSFT,NVDA,AMD,AVGO,ORCL,CRM,ADBE,QCOM,TXN,AMAT,MU,IBM,CSCO,INTU
30,0,2025-03-03,2025-03-04,BL,0.0,0.0,0.15,0.15,0.15,0.10000000000000023,0.0,0.0,0.15,0.0,0.15,0.15,0.0,0.0,0.0
30,0,2025-03-03,2025-03-04,MVO,0.15,5.514516579091996e-17,0.09999999999999981,0.0,0.14999999999999997,0.1499999999999999,0.15,1.1115757577910865e-16,4.306696951692807e-17,0.0,4.469908130396348e-17,1.45288238210564e-18,0.15,0.14999999999999997,0.0
30,0,2025-03-03,2025-03-04,EW,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667
30,0,2025-03-03,2025-03-04,BLM_LLM__gpt_oss_120b,0.14999999999999974,9.01022334763768e-17,0.14999999999999994,0.0,1.6571702744688388e-16,0.14999999999999994,0.14999999999999974,8.916006549509733e-17,0.0,3.178319544530271e-16,1.5068535443109562e-16,0.15,0.09999999999999996,0.14999999999999994,3.422663549680723e-16
30,0,2025-03-03,2025-03-04,RelViewBL__gpt_oss_120b,0.0,1.9997576613793392e-16,0.14999999999999983,0.10000000000000119,0.14999999999999972,0.14999999999999986,0.14999999999999986,1.3944024328558056e-16,1.4530110452449786e-16,0.0,1.0605180401071164e-16,0.14999999999999977,1.045876795438445e-16,1.4936467444780035e-16,0.14999999999999997
30,1,2025-04-14,2025-04-15,BL,1.3444104380948342e-16,4.2930710276622985e-17,0.14999999999999994,0.14999999999999997,0.14999999999999997,0.09999999999999988,3.3842705189342066e-17,2.839314841441346e-17,0.1499999999999999,3.122502256758253e-17,0.15,0.14999999999999997,1.9819846748027954e-17,0.0,7.536093604468178e-17
30,1,2025-04-14,2025-04-15,MVO,1.97758476261356e-16,0.0,0.14999999999999997,0.0,0.15,0.15,0.15,1.734723475976807e-17,2.7755575615628914e-17,6.353424730765056e-17,6.7220534694101275e-18,0.0,0.1499999999999999,0.15,0.09999999999999959
30,1,2025-04-14,2025-04-15,EW,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667
30,1,2025-04-14,2025-04-15,BLM_LLM__gpt_oss_120b,0.0,0.15,5.306463776186911e-16,0.09999999999999959,0.15,0.0,0.15,0.0,0.0,0.15,1.6373983219442778e-16,0.0,0.0,0.15,0.14999999999999997
30,1,2025-04-14,2025-04-15,RelViewBL__gpt_oss_120b,1.4131361004630267e-16,0.0,0.15,0.14999999999999997,0.15,0.14999999999999988,0.09999999999999992,0.15,0.0,0.0,6.301295829297942e-17,0.14999999999999997,8.02697432385297e-17,5.55419203584549e-17,1.8735013540549517e-16
30,2,2025-05-28,2025-05-29,BL,3.434464594476961e-17,4.41731467804847e-17,0.15,0.14999999999999997,0.14999999999999994,0.09999999999999962,6.140749454853636e-17,5.812493662501126e-17,0.1499999999999999,1.3357370765021415e-16,0.1499999999999999,0.15,6.788851720042896e-17,1.0686029779826337e-17,4.132235157200849e-17
30,2,2025-05-28,2025-05-29,MVO,0.0,0.0,0.15,0.0,0.15,0.15,0.10000000000000005,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.15
30,2,2025-05-28,2025-05-29,EW,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667
30,2,2025-05-28,2025-05-29,BLM_LLM__gpt_oss_120b,1.9035906256686964e-16,4.478109408704224e-16,4.621006101040365e-16,3.024668025468501e-16,0.1499999999999999,0.0999999999999988,2.250204979374839e-16,0.15,1.7195090378635966e-16,2.572369343516546e-16,0.0,0.1499999999999998,0.14999999999999986,0.14999999999999974,0.15
30,2,2025-05-28,2025-05-29,RelViewBL__gpt_oss_120b,7.328636360296512e-17,1.0488040767923862e-16,0.15,0.0,0.15,0.09999999999999955,3.780969558400045e-18,1.2939707854955905e-16,0.1499999999999999,0.15,0.14999999999999994,0.15,5.684022946112071e-18,1.3009611163433022e-17,5.666679538784458e-17
30,3,2025-07-11,2025-07-14,BL,0.0,0.0,0.15,0.15,0.1499999999999999,0.10000000000000006,0.0,1.9019385406056616e-17,0.15,0.0,0.15,0.14999999999999997,3.780544229563811e-17,2.5426318501347996e-17,4.639485602080762e-18
30,3,2025-07-11,2025-07-14,MVO,7.020890113706209e-17,1.4118855733566303e-17,0.15,0.0,0.15,0.15,0.0,2.2714539531696578e-17,0.0,0.15,0.0,7.28583859910259e-17,0.14999999999999994,0.15,0.09999999999999984
30,3,2025-07-11,2025-07-14,EW,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667
30,3,2025-07-11,2025-07-14,BLM_LLM__gpt_oss_120b,0.0,0.0,0.15,0.14999999999999997,0.15,0.15,0.0,0.0,0.0,0.10000000000000034,0.15,0.15,0.0,0.0,0.0
30,3,2025-07-11,2025-07-14,RelViewBL__gpt_oss_120b,5.81011864485646e-17,3.755772815600745e-17,0.15,0.15,0.1499999999999999,0.0,0.14999999999999997,0.0,0.0,0.10000000000000037,0.15,0.15,0.0,4.589397671543845e-18,0.0
30,4,2025-08-22,2025-08-25,BL,0.0,4.96929187781275e-17,0.14999999999999988,0.14999999999999994,0.14999999999999983,0.10000000000000044,2.1964396746224393e-17,6.306988891953955e-17,0.14999999999999977,6.928051882182373e-17,0.1499999999999999,0.14999999999999997,2.673453886815591e-17,3.646660880387582e-17,4.0777834195460726e-17
30,4,2025-08-22,2025-08-25,MVO,1.3190010077127987e-17,0.1000000000000001,0.15,0.15,0.14999999999999997,0.14999999999999994,0.0,1.998847201774073e-17,0.0,0.0,1.2432546824862118e-18,0.14999999999999997,1.196959198423997e-16,0.14999999999999994,5.666458207127365e-17
30,4,2025-08-22,2025-08-25,EW,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667
