Holding_Days,Rebalance,Formation_End,Date,BL_Return,MVO_Return,EW_Return,BLM_LLM__gpt_oss_120b_Return,RelViewBL__gpt_oss_120b_Return,BL_NAV,MVO_NAV,EW_NAV,BLM_LLM__gpt_oss_120b_NAV,RelViewBL__gpt_oss_120b_NAV
30,0,2025-03-03,2025-03-04,-0.050878540804418296,-0.04658901077819385,-0.04121478410537425,-0.04349616067068457,-0.05158142981338368,0.9491214591955817,0.9534109892218061,0.9587852158946257,0.9565038393293155,0.9484185701866163
30,0,2025-03-03,2025-03-05,0.010475047983552898,0.011357325476768435,0.00879353232270652,0.006619198594194564,0.010235675453016405,0.9590635520228752,0.964239188139526,0.9672163246811282,0.9628351281979458,0.9581262748646604
30,0,2025-03-03,2025-03-06,-0.03358302588201356,-0.03066004883899464,-0.02053959213048969,-0.01948251185086578,-0.031403534255269726,0.9268552959327951,0.9346755675386956,0.9473500958702264,0.9440766814023994,0.9280377235710741
30,0,2025-03-03,2025-03-07,-0.011767287890863636,-0.010279027162585025,-0.004871143998344626,-0.0028641282671207193,-0.01044430268597819,0.9159487228323823,0.9250680119917608,0.942735417136397,0.9413727246928654,0.9183450166820916
30,0,2025-03-03,2025-03-10,-0.05120741758000437,-0.04565153237923961,-0.033854215773309757,-0.03184875581975795,-0.04972579915828767,0.8690453541004328,0.8828372396893202,0.9108198489075202,0.9113911746487421,0.8726795768245436
30,0,2025-03-03,2025-03-11,-0.0011297509897587226,0.0003721867389824842,-0.0048873232116119466,-0.005577490011319576,-0.0014662962815819283,0.8680635492514926,0.8831658200026125,0.9063683779183577,0.9063078994757339,0.8713999700060333
30,0,2025-03-03,2025-03-12,0.014377650953972993,0.01253361002713454,0.00728397603128156,0.008784680660241078,0.012837523103123919,0.8805442639684976,0.8942350759798197,0.9129703434586265,0.9142695249524821,0.8825865872530473
30,0,2025-03-03,2025-03-13,-0.01596774808044307,-0.01367468995006894,-0.009338029458358767,-0.009167197410075982,-0.015579913418728117,0.8664839549877694,0.8820066885733193,0.9044449994968019,0.9058882357312263,0.8688359646391141
30,0,2025-03-03,2025-03-14,0.0319642651543361,0.02892650041460084,0.027764215227176477,0.022071627291800115,0.03083449029372023,0.8941804778769763,0.9075200554160162,0.9295562051239746,0.9258826632383123,0.8956260787576139
30,0,2025-03-03,2025-03-17,0.003389117545914453,0.004986200369521219,0.008533817150686893,0.002341171156994203,0.004443564688472073,0.8972109606237633,0.9120451322516794,0.9374888678097889,0.9280503130242468,0.899605851175256
